run,init_q25,init_med,init_q75,final_q25,final_med,final_q75,landing_value,landing_i,landing_j
1,3.6421138084935527,4.983053418446913,6.284686695214669,3.5791174593127364,4.938033912148491,6.301892993674373,9.312634396707171,28,51
2,3.6851198007150656,4.859747239248362,5.99951237635992,3.6249381032124877,4.8431398730471855,6.007851523636679,9.508998176691337,4,49
3,3.8469123039384856,4.880451838614416,6.002137573510289,3.806117437501589,4.920570240781299,6.057600819834619,9.983776287047858,14,48
4,3.929679437826082,5.067455168668777,6.2163250715821565,3.8927825066419044,5.0616617149667675,6.260975156639704,9.391285043835188,21,21
5,3.4972568007661318,5.032077974021021,6.520291274875989,3.4704621607113237,4.996727763270283,6.503814509408276,10.50575197407816,32,47
6,4.062966643233331,5.170855502641288,6.3297462329249345,4.001012267474601,5.169089972754106,6.363774484162239,10.366011972576484,16,49
7,4.158427846471333,5.094487590306324,6.0503360648541555,4.105917641483652,5.139248050573277,6.110494840846494,9.386225423092387,24,28
8,3.9039754609241126,4.936702220437748,6.024338848543327,3.8465660054947532,4.938236319357677,6.093559538935244,9.412711068002213,16,40
9,3.7585312309591714,4.826489399659634,5.9101763309801445,3.7174809136336147,4.851461445744512,5.967107682524362,10.461315765384413,8,36
10,3.998489462004482,5.067104734424175,6.155359871011455,3.9293283845468583,5.059051394665525,6.2195393645033885,10.251667290497522,23,24
11,3.516890841847217,4.5918776133808485,5.684382574589465,3.4431233320504298,4.582645304117323,5.717138887490304,8.201631301856407,23,20
12,3.812413825913523,5.029680356331873,6.277163005488328,3.7875649387751,5.055562871747689,6.301200790187869,9.322069786501716,18,59
13,3.76979271552804,4.883115888614853,6.034145999647413,3.702917891602404,4.887093359733271,6.082633124199454,9.904159790487144,10,39
14,4.057605689075862,5.143699855689784,6.24877947927873,4.0309408333921555,5.156306946827735,6.265142959994587,10.193250292221899,13,50
15,3.759127553257337,4.999956462106365,6.261916639033458,3.679604418033333,4.995324880229511,6.3533848515074425,9.62321977227703,10,54
16,3.6448811444424694,4.992326986893778,6.366149874853799,3.6210444187794795,5.014052158067393,6.400324231660196,9.298479239761663,35,30
17,3.816231866909937,4.938425174552226,6.181507103410324,3.7549438775004185,4.968175729817783,6.246332129129548,9.153834724290574,9,44
18,4.089423335491352,5.159278197768881,6.237889665236509,4.041581312108791,5.167491417634536,6.291177420814809,9.912886270779305,11,20
19,3.647613839078044,4.822990935467446,5.95411708414902,3.615040340386432,4.823230010023162,6.004698006392892,9.883092076037029,14,51
20,4.011677498756224,5.16860331003315,6.298552708502945,3.9306911572186896,5.167868694275077,6.343365408122017,9.832412278333866,20,28
21,3.8268647225328905,5.088846070726666,6.3131912391523635,3.8074457085513806,5.038180513515854,6.336174822746602,9.656280446331937,30,37
22,3.8104477219855433,4.911724307514967,6.079531269810138,3.75039600625068,4.917714103500398,6.132002295381189,9.893562478238314,33,47
23,3.5561774033198423,4.650792834907964,5.777966090621566,3.5121483676696696,4.687296022372615,5.8689455635706445,8.87891523368522,31,37
24,3.966835425880424,5.089226239723169,6.230765368711815,3.8834379494667486,5.1004562687088075,6.290908943504153,9.512304141184002,21,45
25,3.9270602142387863,5.076814626176626,6.256116577090225,3.905530829647522,5.0604653705205,6.319048840709989,7.89323792573526,36,31
26,3.8933587535621674,5.042774767896673,6.221399151600675,3.882045311842126,5.087382549490483,6.249195051511378,9.990765952363073,25,36
27,3.819935953886275,5.039009934446901,6.285950019155719,3.819931435653369,5.071180261820569,6.312341515498794,10.383428437280298,8,26
28,3.692385015766315,4.79652889043852,5.9346530067976815,3.6065340965624597,4.789827509732724,5.985440586797994,10.160221094022589,40,40
29,3.9339510835538363,5.108743721702413,6.237715611804912,3.8886622204400005,5.1079123028175495,6.305579327906675,10.289786203540741,19,24
30,3.6725565606326875,4.862983300821003,6.052406456488039,3.5877065583889935,4.874928376085579,6.0748328683657284,8.885272809730404,19,32
