run,init_q25,init_med,init_q75,final_q25,final_med,final_q75,landing_value,landing_i,landing_j
1,0,0,0,0,0,0,8.98372269454328,0,0
2,0,0,0,0,0,0,10.350787305368545,0,0
3,0,0,0,0,0,0,13.704081344054273,0,0
4,0,0,0,0,0,0,12.167151512213788,0,0
5,0,0,0,0,0,0,12.094153706905585,0,0
6,0,0,0,0,0,0,12.21551353547908,0,0
7,0,0,0,0,0,0,8.991105920157853,0,0
8,0,0,0,0,0,0,8.78791742863486,0,0
9,0,0,0,0,0,0,11.845263061537652,0,0
10,0,0,0,0,0,0,12.023022680370389,0,0
11,0,0,0,0,0,0,9.681529403460209,0,0
12,0,0,0,0,0,0,11.50111603116482,0,0
13,0,0,0,0,0,0,10.288896985115388,0,0
14,0,0,0,0,0,0,12.481895561543782,0,0
15,0,0,0,0,0,0,10.398083351379897,0,0
16,0,0,0,0,0,0,9.234103435535046,0,0
17,0,0,0,0,0,0,11.862948669417204,0,0
18,0,0,0,0,0,0,8.563331231458344,0,0
19,0,0,0,0,0,0,9.769772024565174,0,0
20,0,0,0,0,0,0,10.221880265243076,0,0
21,0,0,0,0,0,0,11.552523273717185,0,0
22,0,0,0,0,0,0,10.516159834719748,0,0
23,0,0,0,0,0,0,9.368879430789155,0,0
24,0,0,0,0,0,0,11.018832038206964,0,0
25,0,0,0,0,0,0,5.959283341319915,0,0
26,0,0,0,0,0,0,10.768287724931877,0,0
27,0,0,0,0,0,0,11.704341569104304,0,0
28,0,0,0,0,0,0,10.640884376090352,0,0
29,0,0,0,0,0,0,12.96038688133737,0,0
30,0,0,0,0,0,0,10.940428983529436,0,0
31,0,0,0,0,0,0,6.529454834853316,0,0
32,0,0,0,0,0,0,10.404986431646321,0,0
33,0,0,0,0,0,0,12.03559193450458,0,0
34,0,0,0,0,0,0,12.056964780443362,0,0
35,0,0,0,0,0,0,9.80577010762284,0,0
36,0,0,0,0,0,0,14.647504963446448,0,0
37,0,0,0,0,0,0,12.369289652308888,0,0
38,0,0,0,0,0,0,11.591396082848425,0,0
39,0,0,0,0,0,0,11.223924666213742,0,0
40,0,0,0,0,0,0,7.343754021930124,0,0
41,0,0,0,0,0,0,9.757887674848254,0,0
42,0,0,0,0,0,0,11.081374252298412,0,0
43,0,0,0,0,0,0,12.953680767571916,0,0
44,0,0,0,0,0,0,10.113922751569898,0,0
45,0,0,0,0,0,0,11.436836765200706,0,0
46,0,0,0,0,0,0,14.133924931458285,0,0
47,0,0,0,0,0,0,9.53730996464741,0,0
48,0,0,0,0,0,0,14.467653965767015,0,0
49,0,0,0,0,0,0,9.10088121713266,0,0
50,0,0,0,0,0,0,10.812182151456907,0,0
51,0,0,0,0,0,0,10.90916002487449,0,0
52,0,0,0,0,0,0,15.570314580741382,0,0
53,0,0,0,0,0,0,10.060133330120554,0,0
54,0,0,0,0,0,0,11.005554310994775,0,0
55,0,0,0,0,0,0,10.419785198781113,0,0
56,0,0,0,0,0,0,13.28062876809716,0,0
57,0,0,0,0,0,0,14.973026866630017,0,0
58,0,0,0,0,0,0,10.26254418553288,0,0
59,0,0,0,0,0,0,12.485934953966854,0,0
60,0,0,0,0,0,0,12.414272658010423,0,0
61,0,0,0,0,0,0,9.533791708161388,0,0
62,0,0,0,0,0,0,12.82901162324029,0,0
63,0,0,0,0,0,0,12.777493199937343,0,0
64,0,0,0,0,0,0,9.089596953654398,0,0
65,0,0,0,0,0,0,9.740236075518878,0,0
66,0,0,0,0,0,0,12.58056978606621,0,0
67,0,0,0,0,0,0,10.301863236018434,0,0
68,0,0,0,0,0,0,10.6052718759029,0,0
69,0,0,0,0,0,0,9.449087386694673,0,0
70,0,0,0,0,0,0,8.367961940158455,0,0
71,0,0,0,0,0,0,11.163660937745211,0,0
72,0,0,0,0,0,0,11.591320787051215,0,0
73,0,0,0,0,0,0,12.367412819429898,0,0
74,0,0,0,0,0,0,11.483504097316084,0,0
75,0,0,0,0,0,0,11.935322220048551,0,0
76,0,0,0,0,0,0,9.701098654137036,0,0
77,0,0,0,0,0,0,9.191010710669959,0,0
78,0,0,0,0,0,0,9.285033321586132,0,0
79,0,0,0,0,0,0,10.388426479337069,0,0
80,0,0,0,0,0,0,13.021682825582909,0,0
81,0,0,0,0,0,0,11.428886473490158,0,0
82,0,0,0,0,0,0,11.793824567160813,0,0
83,0,0,0,0,0,0,10.436495303126486,0,0
84,0,0,0,0,0,0,11.186716234281391,0,0
85,0,0,0,0,0,0,10.695674296999544,0,0
86,0,0,0,0,0,0,8.94137104781926,0,0
87,0,0,0,0,0,0,11.244557630098072,0,0
88,0,0,0,0,0,0,10.16505959781668,0,0
89,0,0,0,0,0,0,12.421877896688532,0,0
90,0,0,0,0,0,0,10.830071729244088,0,0
91,0,0,0,0,0,0,10.848743515741011,0,0
92,0,0,0,0,0,0,9.723961548372653,0,0
93,0,0,0,0,0,0,11.58038480813595,0,0
94,0,0,0,0,0,0,10.6625476296137,0,0
95,0,0,0,0,0,0,10.787931993476693,0,0
96,0,0,0,0,0,0,10.395935830152167,0,0
97,0,0,0,0,0,0,8.837733398425314,0,0
98,0,0,0,0,0,0,12.097932149270248,0,0
99,0,0,0,0,0,0,10.290987568883386,0,0
100,0,0,0,0,0,0,10.290729091964488,0,0
101,0,0,0,0,0,0,10.878111993455164,0,0
102,0,0,0,0,0,0,11.541705544617983,0,0
103,0,0,0,0,0,0,11.020368645511157,0,0
104,0,0,0,0,0,0,11.324865211228069,0,0
105,0,0,0,0,0,0,9.083286395532395,0,0
106,0,0,0,0,0,0,10.830320312827393,0,0
107,0,0,0,0,0,0,11.34660588245766,0,0
108,0,0,0,0,0,0,10.364329161565186,0,0
109,0,0,0,0,0,0,13.06323190486552,0,0
110,0,0,0,0,0,0,9.419780590295247,0,0
111,0,0,0,0,0,0,11.838873552689517,0,0
112,0,0,0,0,0,0,10.617270100936468,0,0
113,0,0,0,0,0,0,10.527557240709122,0,0
114,0,0,0,0,0,0,9.328503745494391,0,0
115,0,0,0,0,0,0,11.183581772124505,0,0
116,0,0,0,0,0,0,10.951847925504513,0,0
117,0,0,0,0,0,0,11.754108330153304,0,0
118,0,0,0,0,0,0,8.206324317416154,0,0
119,0,0,0,0,0,0,11.0783485728364,0,0
120,0,0,0,0,0,0,13.023568147086419,0,0
121,0,0,0,0,0,0,11.558006328367604,0,0
122,0,0,0,0,0,0,9.876088151005574,0,0
123,0,0,0,0,0,0,11.49165640655303,0,0
124,0,0,0,0,0,0,12.122041979086246,0,0
125,0,0,0,0,0,0,11.466705502805343,0,0
126,0,0,0,0,0,0,9.512744018995576,0,0
127,0,0,0,0,0,0,9.683325622966077,0,0
128,0,0,0,0,0,0,8.566678454522254,0,0
129,0,0,0,0,0,0,11.778250116451868,0,0
130,0,0,0,0,0,0,10.348550004912884,0,0
131,0,0,0,0,0,0,11.333616558551437,0,0
132,0,0,0,0,0,0,11.786990079313549,0,0
133,0,0,0,0,0,0,11.254422071549701,0,0
134,0,0,0,0,0,0,11.068484518074156,0,0
135,0,0,0,0,0,0,10.979422906517268,0,0
136,0,0,0,0,0,0,11.944952110589039,0,0
137,0,0,0,0,0,0,12.296764893102363,0,0
138,0,0,0,0,0,0,11.562449929624739,0,0
139,0,0,0,0,0,0,11.232818218502072,0,0
140,0,0,0,0,0,0,11.370060881124783,0,0
141,0,0,0,0,0,0,11.651675592730616,0,0
142,0,0,0,0,0,0,16.067421298172093,0,0
143,0,0,0,0,0,0,9.894832753368705,0,0
144,0,0,0,0,0,0,11.550807830677043,0,0
145,0,0,0,0,0,0,8.868588709471876,0,0
146,0,0,0,0,0,0,9.864271119298293,0,0
147,0,0,0,0,0,0,11.609649457409672,0,0
148,0,0,0,0,0,0,12.148470598334713,0,0
149,0,0,0,0,0,0,9.60394080267851,0,0
150,0,0,0,0,0,0,11.216749366084304,0,0
151,0,0,0,0,0,0,8.144400380156355,0,0
152,0,0,0,0,0,0,10.231212374344116,0,0
153,0,0,0,0,0,0,10.603935086239852,0,0
154,0,0,0,0,0,0,8.856038894765767,0,0
155,0,0,0,0,0,0,12.657580988083662,0,0
156,0,0,0,0,0,0,10.5615803842833,0,0
157,0,0,0,0,0,0,12.51715580609367,0,0
158,0,0,0,0,0,0,10.738495553157499,0,0
159,0,0,0,0,0,0,9.63252790732474,0,0
160,0,0,0,0,0,0,11.36833004652952,0,0
161,0,0,0,0,0,0,12.407370658291352,0,0
162,0,0,0,0,0,0,9.17488395282497,0,0
163,0,0,0,0,0,0,11.22768496864494,0,0
164,0,0,0,0,0,0,13.030207921552044,0,0
165,0,0,0,0,0,0,12.846645268412836,0,0
166,0,0,0,0,0,0,10.384396105098615,0,0
167,0,0,0,0,0,0,8.468506148361612,0,0
168,0,0,0,0,0,0,8.663345259128796,0,0
169,0,0,0,0,0,0,9.787078311269003,0,0
170,0,0,0,0,0,0,10.366588583237887,0,0
171,0,0,0,0,0,0,9.36155295888062,0,0
172,0,0,0,0,0,0,10.74398049799138,0,0
173,0,0,0,0,0,0,7.139525277900621,0,0
174,0,0,0,0,0,0,13.612312573072694,0,0
175,0,0,0,0,0,0,13.378636510891097,0,0
176,0,0,0,0,0,0,13.064544813379126,0,0
177,0,0,0,0,0,0,10.971668616476464,0,0
178,0,0,0,0,0,0,11.887100389442347,0,0
179,0,0,0,0,0,0,10.697111432649447,0,0
180,0,0,0,0,0,0,12.81880705063967,0,0
181,0,0,0,0,0,0,11.784409591574246,0,0
182,0,0,0,0,0,0,12.746785485482276,0,0
183,0,0,0,0,0,0,11.337525595116558,0,0
184,0,0,0,0,0,0,11.161449523459424,0,0
185,0,0,0,0,0,0,11.665925878271949,0,0
186,0,0,0,0,0,0,10.922786571270425,0,0
187,0,0,0,0,0,0,8.113834976103536,0,0
188,0,0,0,0,0,0,8.772684706874696,0,0
189,0,0,0,0,0,0,9.764670804149306,0,0
190,0,0,0,0,0,0,14.913606207358889,0,0
191,0,0,0,0,0,0,11.077355371081858,0,0
192,0,0,0,0,0,0,9.374127485626843,0,0
193,0,0,0,0,0,0,9.997892838356474,0,0
194,0,0,0,0,0,0,13.204581942518903,0,0
195,0,0,0,0,0,0,10.895222895235804,0,0
196,0,0,0,0,0,0,16.23055682288333,0,0
197,0,0,0,0,0,0,8.703816196595236,0,0
198,0,0,0,0,0,0,7.931231903546671,0,0
199,0,0,0,0,0,0,10.37376733255453,0,0
200,0,0,0,0,0,0,10.536605653844937,0,0
201,0,0,0,0,0,0,13.11173820286567,0,0
202,0,0,0,0,0,0,12.628358833441162,0,0
203,0,0,0,0,0,0,12.04975615727026,0,0
204,0,0,0,0,0,0,10.007659890890556,0,0
205,0,0,0,0,0,0,13.03471944072954,0,0
206,0,0,0,0,0,0,12.150617128396382,0,0
207,0,0,0,0,0,0,8.593919505288376,0,0
208,0,0,0,0,0,0,12.712458453905665,0,0
209,0,0,0,0,0,0,9.366048446336494,0,0
210,0,0,0,0,0,0,14.583910626652075,0,0
211,0,0,0,0,0,0,9.410693890236363,0,0
212,0,0,0,0,0,0,9.094416566279373,0,0
213,0,0,0,0,0,0,11.342021752487774,0,0
214,0,0,0,0,0,0,8.749360319259788,0,0
215,0,0,0,0,0,0,8.242275121793941,0,0
216,0,0,0,0,0,0,10.79870506371863,0,0
217,0,0,0,0,0,0,8.748739017129237,0,0
218,0,0,0,0,0,0,12.249604021421122,0,0
219,0,0,0,0,0,0,13.248374857371404,0,0
220,0,0,0,0,0,0,11.186759795234746,0,0
221,0,0,0,0,0,0,12.825322559509015,0,0
222,0,0,0,0,0,0,11.22469570216328,0,0
223,0,0,0,0,0,0,12.494598524449962,0,0
224,0,0,0,0,0,0,10.641317867170761,0,0
225,0,0,0,0,0,0,11.30633240548422,0,0
226,0,0,0,0,0,0,12.889751399159499,0,0
227,0,0,0,0,0,0,11.095579813042994,0,0
228,0,0,0,0,0,0,12.202488333272363,0,0
229,0,0,0,0,0,0,9.55660961047909,0,0
230,0,0,0,0,0,0,11.990696760244486,0,0
231,0,0,0,0,0,0,10.921607875302819,0,0
232,0,0,0,0,0,0,10.3902701369475,0,0
233,0,0,0,0,0,0,13.975626209974546,0,0
234,0,0,0,0,0,0,10.220459018963167,0,0
235,0,0,0,0,0,0,11.085891358416406,0,0
236,0,0,0,0,0,0,14.639193301854029,0,0
237,0,0,0,0,0,0,11.86773899845146,0,0
238,0,0,0,0,0,0,9.394954058919645,0,0
239,0,0,0,0,0,0,14.68611520022999,0,0
240,0,0,0,0,0,0,11.501326246822616,0,0
241,0,0,0,0,0,0,10.668027471793918,0,0
242,0,0,0,0,0,0,10.41064813096963,0,0
243,0,0,0,0,0,0,10.28654475488817,0,0
244,0,0,0,0,0,0,9.772683116513965,0,0
245,0,0,0,0,0,0,10.731757188788384,0,0
246,0,0,0,0,0,0,12.031239011022214,0,0
247,0,0,0,0,0,0,11.35442754008879,0,0
248,0,0,0,0,0,0,13.540492081291628,0,0
249,0,0,0,0,0,0,6.9269834061943865,0,0
250,0,0,0,0,0,0,9.985377209306945,0,0
251,0,0,0,0,0,0,11.857027531424983,0,0
252,0,0,0,0,0,0,10.11684285556162,0,0
253,0,0,0,0,0,0,11.794710501321497,0,0
254,0,0,0,0,0,0,8.979168387349675,0,0
255,0,0,0,0,0,0,11.037526997989747,0,0
256,0,0,0,0,0,0,9.538043020175369,0,0
257,0,0,0,0,0,0,9.835200631306106,0,0
258,0,0,0,0,0,0,7.921998466562773,0,0
259,0,0,0,0,0,0,12.440695151741032,0,0
260,0,0,0,0,0,0,9.87811468784839,0,0
261,0,0,0,0,0,0,10.228263781908462,0,0
262,0,0,0,0,0,0,9.250598078076154,0,0
263,0,0,0,0,0,0,9.476546621450114,0,0
264,0,0,0,0,0,0,11.212878114445077,0,0
265,0,0,0,0,0,0,9.909117886587046,0,0
266,0,0,0,0,0,0,12.77208219895086,0,0
267,0,0,0,0,0,0,11.54176987241775,0,0
268,0,0,0,0,0,0,13.083070401321335,0,0
269,0,0,0,0,0,0,9.616761372366975,0,0
270,0,0,0,0,0,0,7.189289133923172,0,0
271,0,0,0,0,0,0,11.656851701018857,0,0
272,0,0,0,0,0,0,12.513254894543447,0,0
273,0,0,0,0,0,0,11.45066717666551,0,0
274,0,0,0,0,0,0,10.012609105235432,0,0
275,0,0,0,0,0,0,9.852759801735928,0,0
276,0,0,0,0,0,0,11.670071309580933,0,0
277,0,0,0,0,0,0,9.416351090820514,0,0
278,0,0,0,0,0,0,10.841930645835719,0,0
279,0,0,0,0,0,0,9.655998505116218,0,0
280,0,0,0,0,0,0,9.48217463293285,0,0
281,0,0,0,0,0,0,12.407184233463786,0,0
282,0,0,0,0,0,0,10.534058025065686,0,0
283,0,0,0,0,0,0,12.795900806345326,0,0
284,0,0,0,0,0,0,11.370999739231584,0,0
285,0,0,0,0,0,0,9.146103199975412,0,0
286,0,0,0,0,0,0,11.855774472095845,0,0
287,0,0,0,0,0,0,11.992427921847588,0,0
288,0,0,0,0,0,0,10.248171951281384,0,0
289,0,0,0,0,0,0,4.970183417026982,0,0
290,0,0,0,0,0,0,9.650095392445504,0,0
291,0,0,0,0,0,0,8.986473999539184,0,0
292,0,0,0,0,0,0,7.697568465725646,0,0
293,0,0,0,0,0,0,6.157579440815429,0,0
294,0,0,0,0,0,0,11.769979360066191,0,0
295,0,0,0,0,0,0,10.389090915098738,0,0
296,0,0,0,0,0,0,10.846042040564527,0,0
297,0,0,0,0,0,0,12.471334807863437,0,0
298,0,0,0,0,0,0,11.383206241389999,0,0
299,0,0,0,0,0,0,10.630833263061225,0,0
300,0,0,0,0,0,0,13.37695856582457,0,0
301,0,0,0,0,0,0,12.247724475938263,0,0
302,0,0,0,0,0,0,11.95318643161468,0,0
303,0,0,0,0,0,0,10.09686525819916,0,0
304,0,0,0,0,0,0,9.708707271559032,0,0
305,0,0,0,0,0,0,8.931894132091921,0,0
306,0,0,0,0,0,0,11.943492225817023,0,0
307,0,0,0,0,0,0,10.62024645174316,0,0
308,0,0,0,0,0,0,11.823873900420242,0,0
309,0,0,0,0,0,0,10.551335220519139,0,0
310,0,0,0,0,0,0,11.315900071892813,0,0
311,0,0,0,0,0,0,10.342649534388134,0,0
312,0,0,0,0,0,0,6.785174772868018,0,0
313,0,0,0,0,0,0,9.500027332281775,0,0
314,0,0,0,0,0,0,9.740949935946395,0,0
315,0,0,0,0,0,0,12.218942036492962,0,0
316,0,0,0,0,0,0,10.760850597143094,0,0
317,0,0,0,0,0,0,9.61109384035091,0,0
318,0,0,0,0,0,0,12.653852596606121,0,0
319,0,0,0,0,0,0,12.606505633383355,0,0
320,0,0,0,0,0,0,8.633690360835399,0,0
321,0,0,0,0,0,0,12.821483556116892,0,0
322,0,0,0,0,0,0,13.24652610115538,0,0
323,0,0,0,0,0,0,9.814593470477641,0,0
324,0,0,0,0,0,0,12.072854008174605,0,0
325,0,0,0,0,0,0,10.520760957219215,0,0
326,0,0,0,0,0,0,12.043137479574785,0,0
327,0,0,0,0,0,0,8.773923476509431,0,0
328,0,0,0,0,0,0,6.625647778649295,0,0
329,0,0,0,0,0,0,11.77940025709797,0,0
330,0,0,0,0,0,0,11.878873812977922,0,0
331,0,0,0,0,0,0,12.019607395847451,0,0
332,0,0,0,0,0,0,11.391207946045308,0,0
333,0,0,0,0,0,0,11.748962013766278,0,0
334,0,0,0,0,0,0,11.028394879834954,0,0
335,0,0,0,0,0,0,12.543470585055292,0,0
336,0,0,0,0,0,0,12.01156674907437,0,0
337,0,0,0,0,0,0,9.112690614200087,0,0
338,0,0,0,0,0,0,10.140589008859616,0,0
339,0,0,0,0,0,0,10.256748122577166,0,0
340,0,0,0,0,0,0,12.86353346218759,0,0
341,0,0,0,0,0,0,10.95940383184743,0,0
342,0,0,0,0,0,0,11.505776522074173,0,0
343,0,0,0,0,0,0,10.691864753307856,0,0
344,0,0,0,0,0,0,10.90283098388983,0,0
345,0,0,0,0,0,0,9.326463446887344,0,0
346,0,0,0,0,0,0,9.090609006521941,0,0
347,0,0,0,0,0,0,11.38073877271769,0,0
348,0,0,0,0,0,0,8.581431767764116,0,0
349,0,0,0,0,0,0,8.702223681385574,0,0
350,0,0,0,0,0,0,9.859471332972765,0,0
351,0,0,0,0,0,0,9.454826708725525,0,0
352,0,0,0,0,0,0,9.971476359482807,0,0
353,0,0,0,0,0,0,13.025888056209155,0,0
354,0,0,0,0,0,0,12.58787531331664,0,0
355,0,0,0,0,0,0,8.738461032002945,0,0
356,0,0,0,0,0,0,6.902265487115563,0,0
357,0,0,0,0,0,0,12.436658915621875,0,0
358,0,0,0,0,0,0,14.619579372661157,0,0
359,0,0,0,0,0,0,10.30322483659303,0,0
360,0,0,0,0,0,0,9.87335420037934,0,0
361,0,0,0,0,0,0,8.188444881220162,0,0
362,0,0,0,0,0,0,12.527482367267472,0,0
363,0,0,0,0,0,0,7.874857838370285,0,0
364,0,0,0,0,0,0,10.95579613712907,0,0
365,0,0,0,0,0,0,8.1369767759469,0,0
366,0,0,0,0,0,0,12.354742915757923,0,0
367,0,0,0,0,0,0,10.883277739618505,0,0
368,0,0,0,0,0,0,10.622828275502659,0,0
369,0,0,0,0,0,0,8.183641584068555,0,0
370,0,0,0,0,0,0,7.868620481789916,0,0
371,0,0,0,0,0,0,12.049728697521846,0,0
372,0,0,0,0,0,0,8.515406231379988,0,0
373,0,0,0,0,0,0,10.548208344514958,0,0
374,0,0,0,0,0,0,10.887187490785037,0,0
375,0,0,0,0,0,0,9.12119865792974,0,0
376,0,0,0,0,0,0,11.31652583842199,0,0
377,0,0,0,0,0,0,10.289801186496911,0,0
378,0,0,0,0,0,0,10.640699655183004,0,0
379,0,0,0,0,0,0,11.091235295812389,0,0
380,0,0,0,0,0,0,12.701922574335212,0,0
381,0,0,0,0,0,0,11.936689519358048,0,0
382,0,0,0,0,0,0,11.251934477097553,0,0
383,0,0,0,0,0,0,14.714803265134243,0,0
384,0,0,0,0,0,0,9.83243668193536,0,0
385,0,0,0,0,0,0,10.34237872984099,0,0
386,0,0,0,0,0,0,10.383262958430818,0,0
387,0,0,0,0,0,0,12.132105413479973,0,0
388,0,0,0,0,0,0,11.889535368198137,0,0
389,0,0,0,0,0,0,13.061060491823952,0,0
390,0,0,0,0,0,0,14.636587852131683,0,0
391,0,0,0,0,0,0,9.406141962683911,0,0
392,0,0,0,0,0,0,12.73038762707787,0,0
393,0,0,0,0,0,0,10.53678197279978,0,0
394,0,0,0,0,0,0,11.986084423983698,0,0
395,0,0,0,0,0,0,13.127620934018932,0,0
396,0,0,0,0,0,0,10.706849749200778,0,0
397,0,0,0,0,0,0,12.55723106441946,0,0
398,0,0,0,0,0,0,13.15247724037405,0,0
399,0,0,0,0,0,0,9.93392989567273,0,0
400,0,0,0,0,0,0,11.840879129831663,0,0
401,0,0,0,0,0,0,10.072864712248045,0,0
402,0,0,0,0,0,0,11.512122849984554,0,0
403,0,0,0,0,0,0,9.986727921666738,0,0
404,0,0,0,0,0,0,10.16002487615756,0,0
405,0,0,0,0,0,0,9.724131529512428,0,0
406,0,0,0,0,0,0,9.566803549088341,0,0
407,0,0,0,0,0,0,10.360412763699335,0,0
408,0,0,0,0,0,0,8.998632317059245,0,0
409,0,0,0,0,0,0,11.830250798496738,0,0
410,0,0,0,0,0,0,11.502552726716296,0,0
411,0,0,0,0,0,0,11.998262207411056,0,0
412,0,0,0,0,0,0,10.340092509044354,0,0
413,0,0,0,0,0,0,12.315099892647497,0,0
414,0,0,0,0,0,0,12.426408531642114,0,0
415,0,0,0,0,0,0,11.932967285322386,0,0
416,0,0,0,0,0,0,10.791373048374496,0,0
417,0,0,0,0,0,0,8.871917647072834,0,0
418,0,0,0,0,0,0,10.755780783155004,0,0
419,0,0,0,0,0,0,9.71459147731861,0,0
420,0,0,0,0,0,0,11.173532415094998,0,0
421,0,0,0,0,0,0,12.68575461103399,0,0
422,0,0,0,0,0,0,10.026801296981636,0,0
423,0,0,0,0,0,0,11.397355054319009,0,0
424,0,0,0,0,0,0,9.866791942474082,0,0
425,0,0,0,0,0,0,12.97632208172028,0,0
426,0,0,0,0,0,0,10.210878143662558,0,0
427,0,0,0,0,0,0,10.507994513174012,0,0
428,0,0,0,0,0,0,8.878141930954083,0,0
429,0,0,0,0,0,0,8.065377847352854,0,0
430,0,0,0,0,0,0,9.676890876557263,0,0
431,0,0,0,0,0,0,12.725959307575874,0,0
432,0,0,0,0,0,0,9.342523583555053,0,0
433,0,0,0,0,0,0,11.67693688686126,0,0
434,0,0,0,0,0,0,12.834715170868986,0,0
435,0,0,0,0,0,0,9.745291669512667,0,0
