run,init_q25,init_med,init_q75,final_q25,final_med,final_q75,landing_value,landing_i,landing_j
1,0,0,0,0,0,0,9.312634396707171,0,0
2,0,0,0,0,0,0,9.324940947142057,0,0
3,0,0,0,0,0,0,9.983776287047858,0,0
4,0,0,0,0,0,0,10.541787878053446,0,0
5,0,0,0,0,0,0,10.50575197407816,0,0
6,0,0,0,0,0,0,10.366011972576484,0,0
7,0,0,0,0,0,0,9.400543973691258,0,0
8,0,0,0,0,0,0,9.412711068002213,0,0
9,0,0,0,0,0,0,10.461315765384413,0,0
10,0,0,0,0,0,0,10.251667290497522,0,0
11,0,0,0,0,0,0,9.500018317295863,0,0
12,0,0,0,0,0,0,9.559377152473251,0,0
13,0,0,0,0,0,0,9.904159790487144,0,0
14,0,0,0,0,0,0,10.498404424023155,0,0
15,0,0,0,0,0,0,9.8738322989008,0,0
16,0,0,0,0,0,0,9.808525858883762,0,0
17,0,0,0,0,0,0,9.917276941257786,0,0
18,0,0,0,0,0,0,9.480102341410406,0,0
19,0,0,0,0,0,0,9.95673714474802,0,0
20,0,0,0,0,0,0,9.922734856668793,0,0
21,0,0,0,0,0,0,9.656280446331937,0,0
22,0,0,0,0,0,0,10.008750478862709,0,0
23,0,0,0,0,0,0,9.04048804490982,0,0
24,0,0,0,0,0,0,9.698211123561457,0,0
25,0,0,0,0,0,0,8.512320835790872,0,0
26,0,0,0,0,0,0,9.990765952363073,0,0
27,0,0,0,0,0,0,10.383428437280298,0,0
28,0,0,0,0,0,0,10.160221094022589,0,0
29,0,0,0,0,0,0,10.555749038987004,0,0
30,0,0,0,0,0,0,8.885272809730404,0,0
31,0,0,0,0,0,0,9.402032517605504,0,0
32,0,0,0,0,0,0,10.259868558611991,0,0
33,0,0,0,0,0,0,10.481161951738377,0,0
34,0,0,0,0,0,0,10.427409542477884,0,0
35,0,0,0,0,0,0,9.911402472730307,0,0
36,0,0,0,0,0,0,10.812712439796961,0,0
37,0,0,0,0,0,0,10.523634772486963,0,0
38,0,0,0,0,0,0,9.82155077537236,0,0
39,0,0,0,0,0,0,10.305981166553435,0,0
40,0,0,0,0,0,0,9.587912473972818,0,0
41,0,0,0,0,0,0,9.939471918712064,0,0
42,0,0,0,0,0,0,9.807849728898972,0,0
43,0,0,0,0,0,0,9.983687992895579,0,0
44,0,0,0,0,0,0,10.400965360765204,0,0
45,0,0,0,0,0,0,10.522738902360835,0,0
46,0,0,0,0,0,0,10.22353964576373,0,0
47,0,0,0,0,0,0,9.212700516979588,0,0
48,0,0,0,0,0,0,10.680231732850245,0,0
49,0,0,0,0,0,0,10.221168255331692,0,0
50,0,0,0,0,0,0,10.102181818017833,0,0
51,0,0,0,0,0,0,10.239289492611148,0,0
52,0,0,0,0,0,0,11.032101252046532,0,0
53,0,0,0,0,0,0,9.907004204295546,0,0
54,0,0,0,0,0,0,8.944709612691703,0,0
55,0,0,0,0,0,0,10.104946299695278,0,0
56,0,0,0,0,0,0,10.628814045026804,0,0
57,0,0,0,0,0,0,11.243256716657504,0,0
58,0,0,0,0,0,0,10.06563604638322,0,0
59,0,0,0,0,0,0,10.483850662491475,0,0
60,0,0,0,0,0,0,10.375613790122166,0,0
61,0,0,0,0,0,0,8.935355069761126,0,0
62,0,0,0,0,0,0,10.270832402333287,0,0
63,0,0,0,0,0,0,10.38409243788702,0,0
64,0,0,0,0,0,0,9.006235314806391,0,0
65,0,0,0,0,0,0,9.021920970921814,0,0
66,0,0,0,0,0,0,10.645142446516552,0,0
67,0,0,0,0,0,0,9.598245677798639,0,0
68,0,0,0,0,0,0,9.675285780949663,0,0
69,0,0,0,0,0,0,9.862271846673668,0,0
70,0,0,0,0,0,0,9.591990485039615,0,0
71,0,0,0,0,0,0,10.290915234436303,0,0
72,0,0,0,0,0,0,9.880244483057057,0,0
73,0,0,0,0,0,0,10.048880718981152,0,0
74,0,0,0,0,0,0,10.175344108756903,0,0
75,0,0,0,0,0,0,10.028992579929616,0,0
76,0,0,0,0,0,0,9.633309510987784,0,0
77,0,0,0,0,0,0,9.263069027077005,0,0
78,0,0,0,0,0,0,10.41612252762778,0,0
79,0,0,0,0,0,0,9.934138445853714,0,0
80,0,0,0,0,0,0,10.264603191264246,0,0
81,0,0,0,0,0,0,10.35722161837254,0,0
82,0,0,0,0,0,0,10.392708577420933,0,0
83,0,0,0,0,0,0,9.80268485624613,0,0
84,0,0,0,0,0,0,9.72463442900205,0,0
85,0,0,0,0,0,0,10.024782970829705,0,0
86,0,0,0,0,0,0,9.607085158822546,0,0
87,0,0,0,0,0,0,10.311139407524518,0,0
88,0,0,0,0,0,0,9.551532779786614,0,0
