run,init_q25,init_med,init_q75,final_q25,final_med,final_q75,landing_value,landing_i,landing_j
1,0,0,0,0,0,0,10.995311583542605,0,0
2,0,0,0,0,0,0,14.471582617415766,0,0
3,0,0,0,0,0,0,13.704081344054273,0,0
4,0,0,0,0,0,0,12.889459990908215,0,0
5,0,0,0,0,0,0,12.094153706905585,0,0
6,0,0,0,0,0,0,13.307411202941466,0,0
7,0,0,0,0,0,0,13.236205292847751,0,0
8,0,0,0,0,0,0,11.421822142822931,0,0
9,0,0,0,0,0,0,11.845263061537652,0,0
10,0,0,0,0,0,0,12.023022680370389,0,0
11,0,0,0,0,0,0,12.98206591333642,0,0
12,0,0,0,0,0,0,11.50111603116482,0,0
13,0,0,0,0,0,0,10.288896985115388,0,0
14,0,0,0,0,0,0,12.481895561543782,0,0
15,0,0,0,0,0,0,11.945905418008543,0,0
16,0,0,0,0,0,0,10.020763191339876,0,0
17,0,0,0,0,0,0,12.56840928740485,0,0
18,0,0,0,0,0,0,13.374079087422547,0,0
19,0,0,0,0,0,0,14.515201063543044,0,0
20,0,0,0,0,0,0,11.219150516162742,0,0
21,0,0,0,0,0,0,11.552523273717185,0,0
22,0,0,0,0,0,0,11.161394128538863,0,0
23,0,0,0,0,0,0,10.28406531146992,0,0
24,0,0,0,0,0,0,11.018832038206964,0,0
25,0,0,0,0,0,0,12.473536535302383,0,0
26,0,0,0,0,0,0,13.021640370238362,0,0
27,0,0,0,0,0,0,12.489426657210156,0,0
28,0,0,0,0,0,0,10.782714155310261,0,0
29,0,0,0,0,0,0,12.96038688133737,0,0
30,0,0,0,0,0,0,11.710953444082616,0,0
31,0,0,0,0,0,0,10.928366006673654,0,0
32,0,0,0,0,0,0,11.01200509362112,0,0
33,0,0,0,0,0,0,12.03559193450458,0,0
34,0,0,0,0,0,0,12.050653456920124,0,0
35,0,0,0,0,0,0,10.253148601936218,0,0
36,0,0,0,0,0,0,12.157174897056567,0,0
37,0,0,0,0,0,0,12.369289652308888,0,0
38,0,0,0,0,0,0,11.811167110952436,0,0
39,0,0,0,0,0,0,12.65692403249482,0,0
40,0,0,0,0,0,0,13.855804554470478,0,0
41,0,0,0,0,0,0,11.286708393801355,0,0
42,0,0,0,0,0,0,12.119439589599757,0,0
43,0,0,0,0,0,0,12.953680767571916,0,0
44,0,0,0,0,0,0,13.121232752966435,0,0
45,0,0,0,0,0,0,12.912686530751426,0,0
46,0,0,0,0,0,0,14.133924931458285,0,0
47,0,0,0,0,0,0,12.6301693832104,0,0
48,0,0,0,0,0,0,14.467653965767015,0,0
49,0,0,0,0,0,0,13.39744111196025,0,0
50,0,0,0,0,0,0,10.812182151456907,0,0
51,0,0,0,0,0,0,12.259880858213744,0,0
52,0,0,0,0,0,0,15.570314580741382,0,0
53,0,0,0,0,0,0,11.07829465479315,0,0
54,0,0,0,0,0,0,10.738755856461747,0,0
55,0,0,0,0,0,0,11.231011096460108,0,0
56,0,0,0,0,0,0,13.28062876809716,0,0
57,0,0,0,0,0,0,14.973026866630017,0,0
58,0,0,0,0,0,0,13.132594441431117,0,0
59,0,0,0,0,0,0,12.485934953966854,0,0
60,0,0,0,0,0,0,12.414272658010423,0,0
61,0,0,0,0,0,0,10.576644536883272,0,0
62,0,0,0,0,0,0,12.82901162324029,0,0
63,0,0,0,0,0,0,12.570315962552595,0,0
64,0,0,0,0,0,0,12.007038277488128,0,0
65,0,0,0,0,0,0,10.111025065079978,0,0
66,0,0,0,0,0,0,12.58056978606621,0,0
67,0,0,0,0,0,0,13.997110448237141,0,0
68,0,0,0,0,0,0,10.6052718759029,0,0
69,0,0,0,0,0,0,12.155893349690528,0,0
70,0,0,0,0,0,0,13.180361189200582,0,0
71,0,0,0,0,0,0,11.64834855013562,0,0
72,0,0,0,0,0,0,11.80288074399068,0,0
73,0,0,0,0,0,0,12.367412819429898,0,0
74,0,0,0,0,0,0,11.483504097316084,0,0
75,0,0,0,0,0,0,14.389970031802932,0,0
76,0,0,0,0,0,0,12.82320106224528,0,0
77,0,0,0,0,0,0,9.821587583871542,0,0
78,0,0,0,0,0,0,13.604619368585274,0,0
79,0,0,0,0,0,0,10.094526017624752,0,0
80,0,0,0,0,0,0,13.461612860848795,0,0
81,0,0,0,0,0,0,11.428886473490158,0,0
82,0,0,0,0,0,0,11.793824567160813,0,0
83,0,0,0,0,0,0,13.458486596362164,0,0
84,0,0,0,0,0,0,10.971138077083756,0,0
85,0,0,0,0,0,0,11.739584681926589,0,0
86,0,0,0,0,0,0,11.597458117306184,0,0
87,0,0,0,0,0,0,11.76738226701747,0,0
88,0,0,0,0,0,0,10.434385693634365,0,0
89,0,0,0,0,0,0,12.421877896688532,0,0
90,0,0,0,0,0,0,10.994764999946202,0,0
91,0,0,0,0,0,0,12.080500901677226,0,0
92,0,0,0,0,0,0,12.384545018742122,0,0
93,0,0,0,0,0,0,11.58038480813595,0,0
94,0,0,0,0,0,0,10.6625476296137,0,0
95,0,0,0,0,0,0,10.787931993476693,0,0
96,0,0,0,0,0,0,10.395935830152167,0,0
97,0,0,0,0,0,0,10.909084719727744,0,0
98,0,0,0,0,0,0,12.097932149270248,0,0
99,0,0,0,0,0,0,12.449488462642602,0,0
100,0,0,0,0,0,0,13.932359519678995,0,0
101,0,0,0,0,0,0,10.878111993455164,0,0
102,0,0,0,0,0,0,12.99401089715592,0,0
103,0,0,0,0,0,0,15.867296662820559,0,0
104,0,0,0,0,0,0,12.231303380040188,0,0
105,0,0,0,0,0,0,10.941586289633724,0,0
106,0,0,0,0,0,0,11.870202436999246,0,0
107,0,0,0,0,0,0,11.34660588245766,0,0
108,0,0,0,0,0,0,11.515423876924118,0,0
109,0,0,0,0,0,0,13.06323190486552,0,0
110,0,0,0,0,0,0,14.720743534407521,0,0
111,0,0,0,0,0,0,12.808095652501496,0,0
112,0,0,0,0,0,0,10.600945449188977,0,0
113,0,0,0,0,0,0,11.540055275731993,0,0
114,0,0,0,0,0,0,11.127701945680727,0,0
115,0,0,0,0,0,0,12.210464374115556,0,0
116,0,0,0,0,0,0,11.932797094831665,0,0
117,0,0,0,0,0,0,12.126463970703396,0,0
118,0,0,0,0,0,0,11.839657605465348,0,0
119,0,0,0,0,0,0,12.565881833557931,0,0
120,0,0,0,0,0,0,13.023568147086419,0,0
121,0,0,0,0,0,0,12.961255080384689,0,0
122,0,0,0,0,0,0,11.420746159166217,0,0
123,0,0,0,0,0,0,12.749024853308976,0,0
124,0,0,0,0,0,0,12.46357115704577,0,0
125,0,0,0,0,0,0,11.466705502805343,0,0
126,0,0,0,0,0,0,10.697624213938212,0,0
127,0,0,0,0,0,0,12.620881455424655,0,0
128,0,0,0,0,0,0,12.006730065003048,0,0
129,0,0,0,0,0,0,12.168691999148109,0,0
130,0,0,0,0,0,0,11.141249408510687,0,0
131,0,0,0,0,0,0,11.333616558551437,0,0
132,0,0,0,0,0,0,11.786990079313549,0,0
133,0,0,0,0,0,0,11.254422071549701,0,0
134,0,0,0,0,0,0,11.90808603513746,0,0
135,0,0,0,0,0,0,12.121589813535369,0,0
136,0,0,0,0,0,0,11.944952110589039,0,0
137,0,0,0,0,0,0,12.427103700265535,0,0
138,0,0,0,0,0,0,11.562449929624739,0,0
139,0,0,0,0,0,0,11.232818218502072,0,0
